shank,electrode,x_um,y_um
1,1,66,255.0
1,2,66,225.0
1,3,66,195.0
1,4,66,165.0
1,5,66,135.0
1,6,66,105.0
1,7,66,75.0
1,8,66,45.0
2,1,132,240.0
2,2,132,210.0
2,3,132,180.0
2,4,132,150.0
2,5,132,120.0
2,6,132,90.0
2,7,132,60.0
2,8,132,30.0
3,1,198,255.0
3,2,198,225.0
3,3,198,195.0
3,4,198,165.0
3,5,198,135.0
3,6,198,105.0
3,7,198,75.0
3,8,198,45.0
4,1,264,240.0
4,2,264,210.0
4,3,264,180.0
4,4,264,150.0
4,5,264,120.0
4,6,264,90.0
4,7,264,60.0
4,8,264,30.0
5,1,330,255.0
5,2,330,225.0
5,3,330,195.0
5,4,330,165.0
5,5,330,135.0
5,6,330,105.0
5,7,330,75.0
5,8,330,45.0
6,1,396,240.0
6,2,396,210.0
6,3,396,180.0
6,4,396,150.0
6,5,396,120.0
6,6,396,90.0
6,7,396,60.0
6,8,396,30.0
7,1,462,255.0
7,2,462,225.0
7,3,462,195.0
7,4,462,165.0
7,5,462,135.0
7,6,462,105.0
7,7,462,75.0
7,8,462,45.0
8,1,528,240.0
8,2,528,210.0
8,3,528,180.0
8,4,528,150.0
8,5,528,120.0
8,6,528,90.0
8,7,528,60.0
8,8,528,30.0
9,1,594,255.0
9,2,594,225.0
9,3,594,195.0
9,4,594,165.0
9,5,594,135.0
9,6,594,105.0
9,7,594,75.0
9,8,594,45.0
10,1,660,240.0
10,2,660,210.0
10,3,660,180.0
10,4,660,150.0
10,5,660,120.0
10,6,660,90.0
10,7,660,60.0
10,8,660,30.0
11,1,726,255.0
11,2,726,225.0
11,3,726,195.0
11,4,726,165.0
11,5,726,135.0
11,6,726,105.0
11,7,726,75.0
11,8,726,45.0
12,1,792,240.0
12,2,792,210.0
12,3,792,180.0
12,4,792,150.0
12,5,792,120.0
12,6,792,90.0
12,7,792,60.0
12,8,792,30.0
13,1,858,255.0
13,2,858,225.0
13,3,858,195.0
13,4,858,165.0
13,5,858,135.0
13,6,858,105.0
13,7,858,75.0
13,8,858,45.0
14,1,924,240.0
14,2,924,210.0
14,3,924,180.0
14,4,924,150.0
14,5,924,120.0
14,6,924,90.0
14,7,924,60.0
14,8,924,30.0
15,1,990,255.0
15,2,990,225.0
15,3,990,195.0
15,4,990,165.0
15,5,990,135.0
15,6,990,105.0
15,7,990,75.0
15,8,990,45.0
16,1,1056,240.0
16,2,1056,210.0
16,3,1056,180.0
16,4,1056,150.0
16,5,1056,120.0
16,6,1056,90.0
16,7,1056,60.0
16,8,1056,30.0
17,1,1122,255.0
17,2,1122,225.0
17,3,1122,195.0
17,4,1122,165.0
17,5,1122,135.0
17,6,1122,105.0
17,7,1122,75.0
17,8,1122,45.0
18,1,1188,240.0
18,2,1188,210.0
18,3,1188,180.0
18,4,1188,150.0
18,5,1188,120.0
18,6,1188,90.0
18,7,1188,60.0
18,8,1188,30.0
19,1,1254,255.0
19,2,1254,225.0
19,3,1254,195.0
19,4,1254,165.0
19,5,1254,135.0
19,6,1254,105.0
19,7,1254,75.0
19,8,1254,45.0
20,1,1320,240.0
20,2,1320,210.0
20,3,1320,180.0
20,4,1320,150.0
20,5,1320,120.0
20,6,1320,90.0
20,7,1320,60.0
20,8,1320,30.0
21,1,1386,255.0
21,2,1386,225.0
21,3,1386,195.0
21,4,1386,165.0
21,5,1386,135.0
21,6,1386,105.0
21,7,1386,75.0
21,8,1386,45.0
22,1,1452,240.0
22,2,1452,210.0
22,3,1452,180.0
22,4,1452,150.0
22,5,1452,120.0
22,6,1452,90.0
22,7,1452,60.0
22,8,1452,30.0
23,1,1518,255.0
23,2,1518,225.0
23,3,1518,195.0
23,4,1518,165.0
23,5,1518,135.0
23,6,1518,105.0
23,7,1518,75.0
23,8,1518,45.0
24,1,1584,240.0
24,2,1584,210.0
24,3,1584,180.0
24,4,1584,150.0
24,5,1584,120.0
24,6,1584,90.0
24,7,1584,60.0
24,8,1584,30.0
25,1,1650,255.0
25,2,1650,225.0
25,3,1650,195.0
25,4,1650,165.0
25,5,1650,135.0
25,6,1650,105.0
25,7,1650,75.0
25,8,1650,45.0
26,1,1716,240.0
26,2,1716,210.0
26,3,1716,180.0
26,4,1716,150.0
26,5,1716,120.0
26,6,1716,90.0
26,7,1716,60.0
26,8,1716,30.0
27,1,1782,255.0
27,2,1782,225.0
27,3,1782,195.0
27,4,1782,165.0
27,5,1782,135.0
27,6,1782,105.0
27,7,1782,75.0
27,8,1782,45.0
28,1,1848,240.0
28,2,1848,210.0
28,3,1848,180.0
28,4,1848,150.0
28,5,1848,120.0
28,6,1848,90.0
28,7,1848,60.0
28,8,1848,30.0
29,1,1914,255.0
29,2,1914,225.0
29,3,1914,195.0
29,4,1914,165.0
29,5,1914,135.0
29,6,1914,105.0
29,7,1914,75.0
29,8,1914,45.0
30,1,1980,240.0
30,2,1980,210.0
30,3,1980,180.0
30,4,1980,150.0
30,5,1980,120.0
30,6,1980,90.0
30,7,1980,60.0
30,8,1980,30.0
31,1,2046,255.0
31,2,2046,225.0
31,3,2046,195.0
31,4,2046,165.0
31,5,2046,135.0
31,6,2046,105.0
31,7,2046,75.0
31,8,2046,45.0
32,1,2112,240.0
32,2,2112,210.0
32,3,2112,180.0
32,4,2112,150.0
32,5,2112,120.0
32,6,2112,90.0
32,7,2112,60.0
32,8,2112,30.0
